                             Name    Version
polyclip                 polyclip     1.10-4
polynom                   polynom      1.4-1
poorman                   poorman      0.2.6
praise                     praise      1.0.0
prettyunits           prettyunits      1.1.1
processx                 processx      3.8.0
profvis                   profvis      0.3.7
progress                 progress      1.2.2
promises                 promises    1.2.0.1
proxy                       proxy     0.4-27
ps                             ps      1.7.2
purrr                       purrr      1.0.1
quantreg                 quantreg       5.94
R.cache                   R.cache     0.16.0
R.methodsS3           R.methodsS3      1.8.2
R.oo                         R.oo     1.25.0
R.utils                   R.utils     2.12.2
R6                             R6      2.5.1
ragg                         ragg      1.2.5
rappdirs                 rappdirs      0.3.3
rcmdcheck               rcmdcheck      1.4.0
RColorBrewer         RColorBrewer      1.1-3
Rcpp                         Rcpp      1.0.9
RcppEigen               RcppEigen  0.3.3.9.3
RcppTOML                 RcppTOML      0.1.7
RCurl                       RCurl  1.98-1.12
reactable               reactable      0.4.4
reactR                     reactR      0.4.4
readr                       readr      2.1.4
readxl                     readxl      1.4.2
rematch                   rematch      1.0.1
rematch2                 rematch2      2.1.2
remotes                   remotes      2.4.2
reprex                     reprex      2.0.2
reticulate             reticulate       1.26
rjson                       rjson     0.2.21
rlang                       rlang      1.1.1
rmarkdown               rmarkdown       2.17
robustbase             robustbase     0.95-1
roxygen2                 roxygen2      7.2.3
rpart                       rpart     4.1.19
rprojroot               rprojroot      2.0.3
rsconnect               rsconnect     0.8.29
RSpectra                 RSpectra     0.16-1
rstatix                   rstatix      0.7.2
rstudioapi             rstudioapi       0.14
Rttf2pt1                 Rttf2pt1     1.3.12
rversions               rversions      2.1.2
rvest                       rvest      1.0.3
s2                             s2      1.1.4
S4Vectors               S4Vectors     0.36.2
sandwich                 sandwich      3.0-2
sass                         sass      0.4.6
scales                     scales      1.2.1
selectr                   selectr      0.4-2
sessioninfo           sessioninfo      1.2.2
sf                             sf     1.0-13
shades                     shades      1.4.0
shiny                       shiny      1.7.4
sourcetools           sourcetools      0.1.7
SparseM                   SparseM       1.81
spatial                   spatial     7.3-15
splines                   splines      4.2.2
splus2R                   splus2R      1.3-3
stats                       stats      4.2.2
stats4                     stats4      4.2.2
stringi                   stringi      1.7.8
stringr                   stringr      1.5.0
styler                     styler      1.9.0
survival                 survival      3.4-0
svglite                   svglite      2.1.1
sys                           sys      3.4.1
sysfonts                 sysfonts      0.8.8
systemfonts           systemfonts      1.0.4
tcltk                       tcltk      4.2.2
testthat                 testthat      3.1.6
textshaping           textshaping      0.3.6
TH.data                   TH.data      1.1-2
tibble                     tibble      3.2.1
tidyr                       tidyr      1.3.0
tidyselect             tidyselect      1.2.0
tidytree                 tidytree      0.4.2
tidyverse               tidyverse      1.3.2
timechange             timechange      0.2.0
tinytex                   tinytex       0.42
tools                       tools      4.2.2
transformr             transformr      0.1.4
treeio                     treeio     1.22.0
tweenr                     tweenr      2.0.2
tzdb                         tzdb      0.3.0
umap                         umap    0.2.9.0
units                       units      0.8-2
urlchecker             urlchecker      1.0.1
usethis                   usethis      2.1.6
utf8                         utf8      1.2.2
utils                       utils      4.2.2
uuid                         uuid      1.1-0
V8                             V8      4.3.0
vctrs                       vctrs      0.6.2
viridis                   viridis      0.6.2
viridisLite           viridisLite      0.4.1
vroom                       vroom      1.6.0
waldo                       waldo      0.4.0
webshot                   webshot      0.5.4
whisker                   whisker      0.4.1
withr                       withr      2.5.0
wk                             wk      0.7.3
xfun                         xfun       0.39
xml2                         xml2      1.3.4
xopen                       xopen      1.0.0
xtable                     xtable      1.8-4
xts                           xts     0.13.1
XVector                   XVector     0.38.0
yaml                         yaml      2.3.6
yulab.utils           yulab.utils      0.0.6
zip                           zip      2.3.0
zlibbioc                 zlibbioc     1.44.0
zoo                           zoo     1.8-11
